"","Sexo","Grupos de edad","Periodo","Total"
"168","Hombres","70 y más años",2009,"40,1"
"169","Mujeres","De 16 a 19 años",2022,"65,4"
"170","Mujeres","De 16 a 19 años",2021,"67,4"
"171","Mujeres","De 16 a 19 años",2020,"68,7"
"172","Mujeres","De 16 a 19 años",2019,"65,6"
"173","Mujeres","De 16 a 19 años",2018,"62,7"
"174","Mujeres","De 16 a 19 años",2017,"65,3"
"175","Mujeres","De 16 a 19 años",2016,"64,8"
"176","Mujeres","De 16 a 19 años",2015,"61,1"
"177","Mujeres","De 16 a 19 años",2014,"64,5"
"178","Mujeres","De 16 a 19 años",2013,"59,6"
"179","Mujeres","De 16 a 19 años",2012,"58,6"
"180","Mujeres","De 16 a 19 años",2011,"58,4"
"181","Mujeres","De 16 a 19 años",2010,"50,7"
"182","Mujeres","De 16 a 19 años",2009,"49,9"
"183","Mujeres","De 20 a 24 años",2022,"45,7"
"184","Mujeres","De 20 a 24 años",2021,"48"
"185","Mujeres","De 20 a 24 años",2020,"44,3"
"186","Mujeres","De 20 a 24 años",2019,"43,9"
"187","Mujeres","De 20 a 24 años",2018,"43,7"
"188","Mujeres","De 20 a 24 años",2017,"45,8"
"189","Mujeres","De 20 a 24 años",2016,"44,6"
"190","Mujeres","De 20 a 24 años",2015,"45,1"
"191","Mujeres","De 20 a 24 años",2014,"46,5"
"192","Mujeres","De 20 a 24 años",2013,"46,1"
"193","Mujeres","De 20 a 24 años",2012,"43,3"
"194","Mujeres","De 20 a 24 años",2011,"39"
"195","Mujeres","De 20 a 24 años",2010,"37,4"
"196","Mujeres","De 20 a 24 años",2009,"32,2"
"197","Mujeres","De 25 a 29 años",2022,"22,5"
"198","Mujeres","De 25 a 29 años",2021,"25,1"
"199","Mujeres","De 25 a 29 años",2020,"24,3"
"200","Mujeres","De 25 a 29 años",2019,"26,2"
"201","Mujeres","De 25 a 29 años",2018,"26,1"
"202","Mujeres","De 25 a 29 años",2017,"26,9"
"203","Mujeres","De 25 a 29 años",2016,"27,4"
"204","Mujeres","De 25 a 29 años",2015,"29,1"
"205","Mujeres","De 25 a 29 años",2014,"29,4"
"206","Mujeres","De 25 a 29 años",2013,"27,7"
"207","Mujeres","De 25 a 29 años",2012,"24,3"
"208","Mujeres","De 25 a 29 años",2011,"21,7"
"209","Mujeres","De 25 a 29 años",2010,"19,6"
"210","Mujeres","De 25 a 29 años",2009,"18,1"
"211","Mujeres","De 30 a 34 años",2022,"19,3"
"212","Mujeres","De 30 a 34 años",2021,"21,6"
"213","Mujeres","De 30 a 34 años",2020,"22,3"
"214","Mujeres","De 30 a 34 años",2019,"23,2"
"215","Mujeres","De 30 a 34 años",2018,"23,6"
"216","Mujeres","De 30 a 34 años",2017,"23,7"
"217","Mujeres","De 30 a 34 años",2016,"23,3"
"218","Mujeres","De 30 a 34 años",2015,"23,6"
"219","Mujeres","De 30 a 34 años",2014,"23,8"
"220","Mujeres","De 30 a 34 años",2013,"24,3"
"221","Mujeres","De 30 a 34 años",2012,"22"
"222","Mujeres","De 30 a 34 años",2011,"20,7"
"223","Mujeres","De 30 a 34 años",2010,"19,3"
"224","Mujeres","De 30 a 34 años",2009,"20"
"225","Mujeres","De 35 a 39 años",2022,"20,2"
"226","Mujeres","De 35 a 39 años",2021,"22,8"
