Edad,Sexo,Unidad,Periodo,Total
De 25 a 29 años,Ambos sexos,Valor absoluto,2022T2,"2.097,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2022T1,"2.095,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2021T4,"2.106,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2021T3,"2.129,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2021T2,"2.122,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2021T1,"2.087,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2020T4,"2.131,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2020T3,"2.078,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2020T2,"1.969,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2020T1,"2.095,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2019T4,"2.122,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2019T3,"2.108,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2019T2,"2.089,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2019T1,"2.081,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2018T4,"2.094,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2018T3,"2.100,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2018T2,"2.105,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2018T1,"2.101,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2017T4,"2.101,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2017T3,"2.117,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2017T2,"2.121,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2017T1,"2.102,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2016T4,"2.123,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2016T3,"2.151,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2016T2,"2.141,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2016T1,"2.145,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2015T4,"2.173,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2015T3,"2.195,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2015T2,"2.211,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2015T1,"2.247,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2014T4,"2.290,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2014T3,"2.314,6"
