"","Provincia","Año_Trimestre","Transacciones"
"43","TOTAL NACIONAL"," 2019_3º","123687"
"44","TOTAL NACIONAL"," 2019_4º","158332"
"45","TOTAL NACIONAL"," 2020_1º","116029"
"46","TOTAL NACIONAL"," 2020_2º","78918"
"47","TOTAL NACIONAL"," 2020_3º","132113"
"48","TOTAL NACIONAL"," 2020_4º","160294"
"49","TOTAL NACIONAL"," 2021_1º","141851"
"50","TOTAL NACIONAL"," 2021_2º","177997"
"51","TOTAL NACIONAL"," 2021_3º","161300"
"52","TOTAL NACIONAL"," 2021_4º","193101"
"53","TOTAL NACIONAL"," 2022_1º","175383"
"54","TOTAL NACIONAL"," 2022_2º","199578"
"55","TOTAL NACIONAL"," 2022_3º","168793"
"56","TOTAL NACIONAL"," 2022_4º","173980"
"57","TOTAL NACIONAL"," 2023_1º","158006"
"58","TOTAL NACIONAL"," 2023_2º","170564"
"59","TOTAL NACIONAL"," 2023_3º (**)","142014"
"60","TOTAL NACIONAL"," 2004_1º","190442"
"61","TOTAL NACIONAL"," 2004_2º","223895"
"62","TOTAL NACIONAL"," 2004_3º","201089"
"63","TOTAL NACIONAL"," 2004_4º","232964"
"64","TOTAL NACIONAL"," 2005_1º","196438"
"65","TOTAL NACIONAL"," 2005_2º","241398"
"66","TOTAL NACIONAL"," 2005_3º","216333"
"67","TOTAL NACIONAL"," 2005_4º","247405"
"68","TOTAL NACIONAL"," 2006_1º","233669"
"69","TOTAL NACIONAL"," 2006_2º","251649"
"70","TOTAL NACIONAL"," 2006_3º","221610"
"71","TOTAL NACIONAL"," 2006_4º","248258"
"72","TOTAL NACIONAL"," 2007_1º","230755"
"73","TOTAL NACIONAL"," 2007_2º","227562"
"74","TOTAL NACIONAL"," 2007_3º","186504"
"75","TOTAL NACIONAL"," 2007_4º","192050"
"76","TOTAL NACIONAL"," 2008_1º","159088"
"77","TOTAL NACIONAL"," 2008_2º","157008"
"78","TOTAL NACIONAL"," 2008_3º","122949"
"79","TOTAL NACIONAL"," 2008_4º","125419"
"80","Andalucía"," 2009_1º","21265"
"81","Andalucía"," 2009_2º","23501"
"82","Andalucía"," 2009_3º","20226"
"83","Andalucía"," 2009_4º","24440"
"84","Andalucía"," 2010_1º","19388"
"85","Andalucía"," 2010_2º","27367"
"86","Andalucía"," 2010_3º","15081"
"87","Andalucía"," 2010_4º","27217"
"88","Andalucía"," 2011_1º","15151"
"89","Andalucía"," 2011_2º","17585"
"90","Andalucía"," 2011_3º","14772"
"91","Andalucía"," 2011_4º","19758"
"92","Andalucía"," 2012_1º","14211"
"93","Andalucía"," 2012_2º","16308"
"94","Andalucía"," 2012_3º","14731"
"95","Andalucía"," 2012_4º","25853"
"96","Andalucía"," 2013_1º","11156"
"97","Andalucía"," 2013_2º","15889"
"98","Andalucía"," 2013_3º","14817"
"99","Andalucía"," 2013_4º","16910"
"100","Andalucía"," 2014_1º","15722"
"101","Andalucía"," 2014_2º","18266"
"102","Andalucía"," 2014_3º","15698"
"103","Andalucía"," 2014_4º","20333"
"104","Andalucía"," 2015_1º","16613"
"105","Andalucía"," 2015_2º","20873"
"106","Andalucía"," 2015_3º","18037"
"107","Andalucía"," 2015_4º","21220"
"108","Andalucía"," 2016_1º","19231"
"109","Andalucía"," 2016_2º","22847"
"110","Andalucía"," 2016_3º","18914"
"111","Andalucía"," 2016_4º","22516"
"112","Andalucía"," 2017_1º","22241"
"113","Andalucía"," 2017_2º","26292"
"114","Andalucía"," 2017_3º","21660"
"115","Andalucía"," 2017_4º","26247"
"116","Andalucía"," 2018_1º","25351"
"117","Andalucía"," 2018_2º","31273"
"118","Andalucía"," 2018_3º","25347"
"119","Andalucía"," 2018_4º","28454"
"120","Andalucía"," 2019_1º","26701"
"121","Andalucía"," 2019_2º","28752"
"122","Andalucía"," 2019_3º","23781"
"123","Andalucía"," 2019_4º","30041"
"124","Andalucía"," 2020_1º","22461"
"125","Andalucía"," 2020_2º","15435"
"126","Andalucía"," 2020_3º","25418"
"127","Andalucía"," 2020_4º","30225"
"128","Andalucía"," 2021_1º","27009"
"129","Andalucía"," 2021_2º","35641"
"130","Andalucía"," 2021_3º","32231"
"131","Andalucía"," 2021_4º","39376"
"132","Andalucía"," 2022_1º","34585"
"133","Andalucía"," 2022_2º","39821"
"134","Andalucía"," 2022_3º","33697"
"135","Andalucía"," 2022_4º","34029"
"136","Andalucía"," 2023_1º","31247"
"137","Andalucía"," 2023_2º","33359"
"138","Andalucía"," 2023_3º (**)","28329"
"139","Andalucía"," 2004_1º","34597"
"140","Andalucía"," 2004_2º","40321"
"141","Andalucía"," 2004_3º","33921"
"142","Andalucía"," 2004_4º","38726"
"143","Andalucía"," 2005_1º","33304"
"144","Andalucía"," 2005_2º","40656"
"145","Andalucía"," 2005_3º","36797"
"146","Andalucía"," 2005_4º","41718"
"147","Andalucía"," 2006_1º","38813"
"148","Andalucía"," 2006_2º","44325"
"149","Andalucía"," 2006_3º","41390"
"150","Andalucía"," 2006_4º","43529"
"151","Andalucía"," 2007_1º","47449"
"152","Andalucía"," 2007_2º","45928"
"153","Andalucía"," 2007_3º","38213"
"154","Andalucía"," 2007_4º","39807"
"155","Andalucía"," 2008_1º","32771"
"156","Andalucía"," 2008_2º","31889"
"157","Andalucía"," 2008_3º","25429"
"158","Andalucía"," 2008_4º","25394"
"159","Almería"," 2009_1º","2112"
"160","Almería"," 2009_2º","2768"
"161","Almería"," 2009_3º","2485"
"162","Almería"," 2009_4º","2603"
"163","Almería"," 2010_1º","1840"
"164","Almería"," 2010_2º","3002"
"165","Almería"," 2010_3º","1684"
"166","Almería"," 2010_4º","2759"
"167","Almería"," 2011_1º","1634"
"168","Almería"," 2011_2º","1854"
"169","Almería"," 2011_3º","1575"
"170","Almería"," 2011_4º","1888"
"171","Almería"," 2012_1º","1442"
"172","Almería"," 2012_2º","1736"
"173","Almería"," 2012_3º","1725"
"174","Almería"," 2012_4º","2879"
"175","Almería"," 2013_1º","1446"
"176","Almería"," 2013_2º","1815"
"177","Almería"," 2013_3º","1905"
"178","Almería"," 2013_4º","1716"
"179","Almería"," 2014_1º","1723"
"180","Almería"," 2014_2º","1879"
"181","Almería"," 2014_3º","1552"
"182","Almería"," 2014_4º","1883"
"183","Almería"," 2015_1º","1623"
"184","Almería"," 2015_2º","2005"
"185","Almería"," 2015_3º","1846"
"186","Almería"," 2015_4º","2123"
"187","Almería"," 2016_1º","1809"
"188","Almería"," 2016_2º","2282"
"189","Almería"," 2016_3º","2081"
"190","Almería"," 2016_4º","2224"
"191","Almería"," 2017_1º","2089"
"192","Almería"," 2017_2º","2859"
"193","Almería"," 2017_3º","2195"
"194","Almería"," 2017_4º","2609"
"195","Almería"," 2018_1º","2596"
"196","Almería"," 2018_2º","3277"
"197","Almería"," 2018_3º","2876"
"198","Almería"," 2018_4º","2930"
"199","Almería"," 2019_1º","2820"
"200","Almería"," 2019_2º","3193"
"201","Almería"," 2019_3º","2675"
"202","Almería"," 2019_4º","3320"
"203","Almería"," 2020_1º","2317"
"204","Almería"," 2020_2º","1605"
"205","Almería"," 2020_3º","2894"
"206","Almería"," 2020_4º","3251"
"207","Almería"," 2021_1º","2780"
"208","Almería"," 2021_2º","3971"
"209","Almería"," 2021_3º","3771"
"210","Almería"," 2021_4º","4077"
"211","Almería"," 2022_1º","3606"
"212","Almería"," 2022_2º","4375"
"213","Almería"," 2022_3º","4092"
"214","Almería"," 2022_4º","3801"
"215","Almería"," 2023_1º","3450"
"216","Almería"," 2023_2º","4123"
"217","Almería"," 2023_3º (**)","3348"
"218","Almería"," 2004_1º","4391"
"219","Almería"," 2004_2º","5545"
"220","Almería"," 2004_3º","4643"
"221","Almería"," 2004_4º","4782"
"222","Almería"," 2005_1º","4287"
"223","Almería"," 2005_2º","5746"
"224","Almería"," 2005_3º","5648"
"225","Almería"," 2005_4º","6201"
"226","Almería"," 2006_1º","5710"
"227","Almería"," 2006_2º","6439"
"228","Almería"," 2006_3º","6369"
"229","Almería"," 2006_4º","6812"
"230","Almería"," 2007_1º","5660"
"231","Almería"," 2007_2º","5773"
"232","Almería"," 2007_3º","4713"
"233","Almería"," 2007_4º","4453"
"234","Almería"," 2008_1º","3448"
"235","Almería"," 2008_2º","3388"
"236","Almería"," 2008_3º","3365"
"237","Almería"," 2008_4º","2781"
"238","Cádiz"," 2009_1º","2805"
"239","Cádiz"," 2009_2º","2968"
"240","Cádiz"," 2009_3º","2756"
"241","Cádiz"," 2009_4º","3256"
"242","Cádiz"," 2010_1º","2550"
"243","Cádiz"," 2010_2º","3614"
"244","Cádiz"," 2010_3º","2075"
"245","Cádiz"," 2010_4º","3542"
"246","Cádiz"," 2011_1º","1996"
"247","Cádiz"," 2011_2º","2187"
"248","Cádiz"," 2011_3º","1879"
"249","Cádiz"," 2011_4º","2675"
"250","Cádiz"," 2012_1º","1797"
"251","Cádiz"," 2012_2º","2106"
"252","Cádiz"," 2012_3º","1827"
"253","Cádiz"," 2012_4º","2885"
"254","Cádiz"," 2013_1º","1286"
"255","Cádiz"," 2013_2º","1795"
"256","Cádiz"," 2013_3º","1694"
"257","Cádiz"," 2013_4º","2016"
"258","Cádiz"," 2014_1º","1950"
"259","Cádiz"," 2014_2º","2109"
"260","Cádiz"," 2014_3º","1818"
"261","Cádiz"," 2014_4º","2404"
"262","Cádiz"," 2015_1º","1948"
"263","Cádiz"," 2015_2º","3036"
"264","Cádiz"," 2015_3º","2253"
"265","Cádiz"," 2015_4º","2803"
"266","Cádiz"," 2016_1º","2734"
"267","Cádiz"," 2016_2º","2838"
"268","Cádiz"," 2016_3º","2480"
"269","Cádiz"," 2016_4º","2802"
"270","Cádiz"," 2017_1º","2791"
"271","Cádiz"," 2017_2º","3169"
"272","Cádiz"," 2017_3º","2774"
"273","Cádiz"," 2017_4º","3460"
"274","Cádiz"," 2018_1º","3153"
"275","Cádiz"," 2018_2º","3992"
"276","Cádiz"," 2018_3º","3431"
"277","Cádiz"," 2018_4º","3828"
"278","Cádiz"," 2019_1º","3645"
"279","Cádiz"," 2019_2º","3721"
"280","Cádiz"," 2019_3º","3324"
"281","Cádiz"," 2019_4º","4207"
"282","Cádiz"," 2020_1º","3049"
"283","Cádiz"," 2020_2º","2115"
"284","Cádiz"," 2020_3º","3307"
"285","Cádiz"," 2020_4º","4062"
"286","Cádiz"," 2021_1º","3671"
"287","Cádiz"," 2021_2º","5196"
"288","Cádiz"," 2021_3º","4329"
"289","Cádiz"," 2021_4º","5158"
"290","Cádiz"," 2022_1º","4394"
"291","Cádiz"," 2022_2º","5067"
"292","Cádiz"," 2022_3º","4338"
"293","Cádiz"," 2022_4º","4666"
"294","Cádiz"," 2023_1º","4017"
"295","Cádiz"," 2023_2º","4301"
"296","Cádiz"," 2023_3º (**)","3467"
"297","Cádiz"," 2004_1º","4944"
"298","Cádiz"," 2004_2º","5756"
"299","Cádiz"," 2004_3º","5051"
"300","Cádiz"," 2004_4º","5314"
"301","Cádiz"," 2005_1º","5477"
"302","Cádiz"," 2005_2º","6602"
"303","Cádiz"," 2005_3º","5607"
"304","Cádiz"," 2005_4º","6661"
"305","Cádiz"," 2006_1º","6185"
"306","Cádiz"," 2006_2º","6476"
"307","Cádiz"," 2006_3º","6052"
"308","Cádiz"," 2006_4º","5855"
"309","Cádiz"," 2007_1º","6535"
"310","Cádiz"," 2007_2º","6874"
"311","Cádiz"," 2007_3º","5654"
"312","Cádiz"," 2007_4º","5351"
"313","Cádiz"," 2008_1º","4506"
"314","Cádiz"," 2008_2º","4150"
"315","Cádiz"," 2008_3º","3180"
"316","Cádiz"," 2008_4º","3196"
"317","Córdoba"," 2009_1º","1454"
"318","Córdoba"," 2009_2º","1703"
"319","Córdoba"," 2009_3º","1303"
"320","Córdoba"," 2009_4º","1887"
"321","Córdoba"," 2010_1º","1297"
"322","Córdoba"," 2010_2º","1947"
"323","Córdoba"," 2010_3º","995"
"324","Córdoba"," 2010_4º","2026"
"325","Córdoba"," 2011_1º","979"
"326","Córdoba"," 2011_2º","1192"
"327","Córdoba"," 2011_3º","1045"
"328","Córdoba"," 2011_4º","1374"
"329","Córdoba"," 2012_1º","834"
"330","Córdoba"," 2012_2º","1098"
"331","Córdoba"," 2012_3º","1125"
"332","Córdoba"," 2012_4º","1839"
"333","Córdoba"," 2013_1º","658"
"334","Córdoba"," 2013_2º","1008"
"335","Córdoba"," 2013_3º","859"
"336","Córdoba"," 2013_4º","1111"
"337","Córdoba"," 2014_1º","930"
"338","Córdoba"," 2014_2º","1079"
"339","Córdoba"," 2014_3º","927"
"340","Córdoba"," 2014_4º","1311"
"341","Córdoba"," 2015_1º","1039"
"342","Córdoba"," 2015_2º","1225"
"343","Córdoba"," 2015_3º","1116"
"344","Córdoba"," 2015_4º","1386"
"345","Córdoba"," 2016_1º","1316"
"346","Córdoba"," 2016_2º","1372"
"347","Córdoba"," 2016_3º","1081"
"348","Córdoba"," 2016_4º","1478"
"349","Córdoba"," 2017_1º","1420"
"350","Córdoba"," 2017_2º","1727"
"351","Córdoba"," 2017_3º","1319"
"352","Córdoba"," 2017_4º","1736"
"353","Córdoba"," 2018_1º","1659"
"354","Córdoba"," 2018_2º","2065"
"355","Córdoba"," 2018_3º","1535"
"356","Córdoba"," 2018_4º","1807"
"357","Córdoba"," 2019_1º","1786"
"358","Córdoba"," 2019_2º","2013"
"359","Córdoba"," 2019_3º","1680"
"360","Córdoba"," 2019_4º","1836"
"361","Córdoba"," 2020_1º","1478"
"362","Córdoba"," 2020_2º","1145"
"363","Córdoba"," 2020_3º","2002"
"364","Córdoba"," 2020_4º","2222"
"365","Córdoba"," 2021_1º","1977"
"366","Córdoba"," 2021_2º","2494"
"367","Córdoba"," 2021_3º","2136"
"368","Córdoba"," 2021_4º","2515"
"369","Córdoba"," 2022_1º","2338"
"370","Córdoba"," 2022_2º","2447"
"371","Córdoba"," 2022_3º","2138"
"372","Córdoba"," 2022_4º","2362"
"373","Córdoba"," 2023_1º","2379"
"374","Córdoba"," 2023_2º","2355"
"375","Córdoba"," 2023_3º (**)","1924"
"376","Córdoba"," 2004_1º","2647"
"377","Córdoba"," 2004_2º","3103"
"378","Córdoba"," 2004_3º","2414"
"379","Córdoba"," 2004_4º","2921"
"380","Córdoba"," 2005_1º","2164"
"381","Córdoba"," 2005_2º","2363"
"382","Córdoba"," 2005_3º","2180"
"383","Córdoba"," 2005_4º","2636"
"384","Córdoba"," 2006_1º","2399"
"385","Córdoba"," 2006_2º","2868"
"386","Córdoba"," 2006_3º","2858"
"387","Córdoba"," 2006_4º","3343"
"388","Córdoba"," 2007_1º","3298"
"389","Córdoba"," 2007_2º","3359"
"390","Córdoba"," 2007_3º","2516"
"391","Córdoba"," 2007_4º","2758"
"392","Córdoba"," 2008_1º","2143"
"393","Córdoba"," 2008_2º","2500"
"394","Córdoba"," 2008_3º","2044"
"395","Córdoba"," 2008_4º","1719"
"396","Granada"," 2009_1º","2845"
"397","Granada"," 2009_2º","2876"
"398","Granada"," 2009_3º","2575"
"399","Granada"," 2009_4º","2770"
"400","Granada"," 2010_1º","2128"
"401","Granada"," 2010_2º","3229"
"402","Granada"," 2010_3º","1647"
"403","Granada"," 2010_4º","3160"
"404","Granada"," 2011_1º","1821"
"405","Granada"," 2011_2º","2099"
"406","Granada"," 2011_3º","1685"
"407","Granada"," 2011_4º","2005"
"408","Granada"," 2012_1º","1435"
"409","Granada"," 2012_2º","1984"
"410","Granada"," 2012_3º","1655"
"411","Granada"," 2012_4º","2688"
"412","Granada"," 2013_1º","1135"
"413","Granada"," 2013_2º","1576"
"414","Granada"," 2013_3º","1509"
"415","Granada"," 2013_4º","1752"
"416","Granada"," 2014_1º","1501"
"417","Granada"," 2014_2º","1976"
"418","Granada"," 2014_3º","1558"
"419","Granada"," 2014_4º","2055"
"420","Granada"," 2015_1º","1635"
"421","Granada"," 2015_2º","2065"
"422","Granada"," 2015_3º","1859"
"423","Granada"," 2015_4º","2337"
"424","Granada"," 2016_1º","1929"
"425","Granada"," 2016_2º","2247"
"426","Granada"," 2016_3º","1895"
"427","Granada"," 2016_4º","2469"
"428","Granada"," 2017_1º","2319"
"429","Granada"," 2017_2º","2872"
"430","Granada"," 2017_3º","2388"
"431","Granada"," 2017_4º","2879"
"432","Granada"," 2018_1º","2699"
"433","Granada"," 2018_2º","3201"
"434","Granada"," 2018_3º","2653"
"435","Granada"," 2018_4º","2938"
"436","Granada"," 2019_1º","3044"
"437","Granada"," 2019_2º","3275"
"438","Granada"," 2019_3º","2553"
"439","Granada"," 2019_4º","3203"
"440","Granada"," 2020_1º","2391"
"441","Granada"," 2020_2º","1781"
"442","Granada"," 2020_3º","2842"
"443","Granada"," 2020_4º","3019"
"444","Granada"," 2021_1º","2927"
"445","Granada"," 2021_2º","3734"
"446","Granada"," 2021_3º","3398"
"447","Granada"," 2021_4º","4359"
"448","Granada"," 2022_1º","3723"
"449","Granada"," 2022_2º","4437"
"450","Granada"," 2022_3º","3702"
"451","Granada"," 2022_4º","4029"
"452","Granada"," 2023_1º","3471"
"453","Granada"," 2023_2º","3522"
"454","Granada"," 2023_3º (**)","3305"
"455","Granada"," 2004_1º","2200"
"456","Granada"," 2004_2º","3278"
"457","Granada"," 2004_3º","3128"
"458","Granada"," 2004_4º","3094"
"459","Granada"," 2005_1º","2382"
"460","Granada"," 2005_2º","3358"
"461","Granada"," 2005_3º","3486"
"462","Granada"," 2005_4º","3701"
"463","Granada"," 2006_1º","3324"
"464","Granada"," 2006_2º","4281"
"465","Granada"," 2006_3º","4535"
"466","Granada"," 2006_4º","4336"
"467","Granada"," 2007_1º","4861"
"468","Granada"," 2007_2º","5350"
"469","Granada"," 2007_3º","4389"
"470","Granada"," 2007_4º","4793"
"471","Granada"," 2008_1º","4096"
"472","Granada"," 2008_2º","3784"
"473","Granada"," 2008_3º","3008"
"474","Granada"," 2008_4º","3001"
"475","Huelva"," 2009_1º","1413"
"476","Huelva"," 2009_2º","1333"
"477","Huelva"," 2009_3º","1147"
"478","Huelva"," 2009_4º","1576"
"479","Huelva"," 2010_1º","1527"
"480","Huelva"," 2010_2º","1827"
"481","Huelva"," 2010_3º","1104"
"482","Huelva"," 2010_4º","1867"
"483","Huelva"," 2011_1º","1014"
"484","Huelva"," 2011_2º","1366"
"485","Huelva"," 2011_3º","1149"
"486","Huelva"," 2011_4º","1338"
"487","Huelva"," 2012_1º","1022"
"488","Huelva"," 2012_2º","1058"
"489","Huelva"," 2012_3º","1015"
"490","Huelva"," 2012_4º","1612"
"491","Huelva"," 2013_1º","635"
"492","Huelva"," 2013_2º","1087"
"493","Huelva"," 2013_3º","920"
"494","Huelva"," 2013_4º","983"
"495","Huelva"," 2014_1º","901"
"496","Huelva"," 2014_2º","1024"
"497","Huelva"," 2014_3º","915"
"498","Huelva"," 2014_4º","996"
"499","Huelva"," 2015_1º","925"
"500","Huelva"," 2015_2º","1175"
"501","Huelva"," 2015_3º","987"
"502","Huelva"," 2015_4º","1131"
"503","Huelva"," 2016_1º","992"
"504","Huelva"," 2016_2º","1229"
"505","Huelva"," 2016_3º","1024"
"506","Huelva"," 2016_4º","1240"
"507","Huelva"," 2017_1º","1150"
"508","Huelva"," 2017_2º","1366"
"509","Huelva"," 2017_3º","1233"
"510","Huelva"," 2017_4º","1332"
"511","Huelva"," 2018_1º","1286"
"512","Huelva"," 2018_2º","2008"
"513","Huelva"," 2018_3º","1447"
"514","Huelva"," 2018_4º","1767"
"515","Huelva"," 2019_1º","1523"
"516","Huelva"," 2019_2º","1693"
"517","Huelva"," 2019_3º","1321"
"518","Huelva"," 2019_4º","1641"
"519","Huelva"," 2020_1º","1411"
"520","Huelva"," 2020_2º","898"
"521","Huelva"," 2020_3º","1629"
"522","Huelva"," 2020_4º","1907"
"523","Huelva"," 2021_1º","1703"
"524","Huelva"," 2021_2º","2365"
"525","Huelva"," 2021_3º","2101"
"526","Huelva"," 2021_4º","2390"
"527","Huelva"," 2022_1º","1997"
"528","Huelva"," 2022_2º","2358"
"529","Huelva"," 2022_3º","1913"
"530","Huelva"," 2022_4º","1885"
"531","Huelva"," 2023_1º","1803"
"532","Huelva"," 2023_2º","1997"
"533","Huelva"," 2023_3º (**)","1792"
"534","Huelva"," 2004_1º","2987"
"535","Huelva"," 2004_2º","3511"
"536","Huelva"," 2004_3º","2604"
"537","Huelva"," 2004_4º","2787"
"538","Huelva"," 2005_1º","2657"
"539","Huelva"," 2005_2º","3146"
"540","Huelva"," 2005_3º","2520"
"541","Huelva"," 2005_4º","2959"
"542","Huelva"," 2006_1º","2890"
"543","Huelva"," 2006_2º","3160"
"544","Huelva"," 2006_3º","2710"
"545","Huelva"," 2006_4º","2827"
"546","Huelva"," 2007_1º","3128"
"547","Huelva"," 2007_2º","3071"
"548","Huelva"," 2007_3º","2775"
"549","Huelva"," 2007_4º","2669"
"550","Huelva"," 2008_1º","2291"
"551","Huelva"," 2008_2º","2250"
"552","Huelva"," 2008_3º","2032"
"553","Huelva"," 2008_4º","1890"
"554","Jaén"," 2009_1º","1310"
"555","Jaén"," 2009_2º","1414"
"556","Jaén"," 2009_3º","1088"
"557","Jaén"," 2009_4º","1283"
"558","Jaén"," 2010_1º","1056"
"559","Jaén"," 2010_2º","1398"
"560","Jaén"," 2010_3º","898"
"561","Jaén"," 2010_4º","1707"
"562","Jaén"," 2011_1º","872"
"563","Jaén"," 2011_2º","947"
"564","Jaén"," 2011_3º","953"
"565","Jaén"," 2011_4º","1148"
"566","Jaén"," 2012_1º","869"
"567","Jaén"," 2012_2º","908"
"568","Jaén"," 2012_3º","705"
"569","Jaén"," 2012_4º","1291"
"570","Jaén"," 2013_1º","553"
"571","Jaén"," 2013_2º","641"
"572","Jaén"," 2013_3º","637"
"573","Jaén"," 2013_4º","705"
"574","Jaén"," 2014_1º","688"
"575","Jaén"," 2014_2º","786"
"576","Jaén"," 2014_3º","727"
"577","Jaén"," 2014_4º","1027"
"578","Jaén"," 2015_1º","808"
"579","Jaén"," 2015_2º","933"
"580","Jaén"," 2015_3º","820"
"581","Jaén"," 2015_4º","1070"
"582","Jaén"," 2016_1º","975"
"583","Jaén"," 2016_2º","1098"
"584","Jaén"," 2016_3º","946"
"585","Jaén"," 2016_4º","1193"
"586","Jaén"," 2017_1º","1223"
"587","Jaén"," 2017_2º","1250"
"588","Jaén"," 2017_3º","1085"
"589","Jaén"," 2017_4º","1295"
"590","Jaén"," 2018_1º","1266"
"591","Jaén"," 2018_2º","1445"
"592","Jaén"," 2018_3º","1268"
"593","Jaén"," 2018_4º","1311"
"594","Jaén"," 2019_1º","1410"
"595","Jaén"," 2019_2º","1473"
"596","Jaén"," 2019_3º","1162"
"597","Jaén"," 2019_4º","1590"
"598","Jaén"," 2020_1º","1148"
"599","Jaén"," 2020_2º","896"
"600","Jaén"," 2020_3º","1358"
"601","Jaén"," 2020_4º","1655"
"602","Jaén"," 2021_1º","1473"
"603","Jaén"," 2021_2º","1772"
"604","Jaén"," 2021_3º","1516"
"605","Jaén"," 2021_4º","1803"
"606","Jaén"," 2022_1º","1837"
"607","Jaén"," 2022_2º","1935"
"608","Jaén"," 2022_3º","1720"
"609","Jaén"," 2022_4º","1774"
"610","Jaén"," 2023_1º","1618"
"611","Jaén"," 2023_2º","1710"
"612","Jaén"," 2023_3º (**)","1440"
"613","Jaén"," 2004_1º","2028"
"614","Jaén"," 2004_2º","2355"
"615","Jaén"," 2004_3º","2048"
"616","Jaén"," 2004_4º","2452"
"617","Jaén"," 2005_1º","1795"
"618","Jaén"," 2005_2º","2318"
"619","Jaén"," 2005_3º","2473"
"620","Jaén"," 2005_4º","2528"
"621","Jaén"," 2006_1º","2279"
"622","Jaén"," 2006_2º","2470"
"623","Jaén"," 2006_3º","2305"
"624","Jaén"," 2006_4º","2710"
"625","Jaén"," 2007_1º","3009"
"626","Jaén"," 2007_2º","2887"
"627","Jaén"," 2007_3º","2320"
"628","Jaén"," 2007_4º","2484"
"629","Jaén"," 2008_1º","2269"
"630","Jaén"," 2008_2º","2280"
"631","Jaén"," 2008_3º","1735"
"632","Jaén"," 2008_4º","1816"
"633","Málaga"," 2009_1º","5066"
"634","Málaga"," 2009_2º","5464"
"635","Málaga"," 2009_3º","5467"
"636","Málaga"," 2009_4º","6227"
"637","Málaga"," 2010_1º","4986"
"638","Málaga"," 2010_2º","7085"
"639","Málaga"," 2010_3º","3914"
"640","Málaga"," 2010_4º","6583"
"641","Málaga"," 2011_1º","3777"
"642","Málaga"," 2011_2º","4552"
"643","Málaga"," 2011_3º","3929"
"644","Málaga"," 2011_4º","5284"
"645","Málaga"," 2012_1º","4055"
"646","Málaga"," 2012_2º","4486"
"647","Málaga"," 2012_3º","4033"
"648","Málaga"," 2012_4º","6766"
"649","Málaga"," 2013_1º","3096"
"650","Málaga"," 2013_2º","5263"
"651","Málaga"," 2013_3º","4774"
"652","Málaga"," 2013_4º","5482"
"653","Málaga"," 2014_1º","4986"
"654","Málaga"," 2014_2º","6349"
"655","Málaga"," 2014_3º","5596"
"656","Málaga"," 2014_4º","6946"
"657","Málaga"," 2015_1º","5559"
"658","Málaga"," 2015_2º","7149"
"659","Málaga"," 2015_3º","6273"
"660","Málaga"," 2015_4º","6817"
"661","Málaga"," 2016_1º","6153"
"662","Málaga"," 2016_2º","7745"
"663","Málaga"," 2016_3º","6389"
"664","Málaga"," 2016_4º","7309"
"665","Málaga"," 2017_1º","7378"
"666","Málaga"," 2017_2º","8761"
