Edad,Sexo,Unidad,Periodo,Total
De 20 a 24 años,Ambos sexos,Valor absoluto,2002T3,"397,3"
De 20 a 24 años,Ambos sexos,Valor absoluto,2002T2,"380,8"
De 20 a 24 años,Ambos sexos,Valor absoluto,2002T1,"396,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2023T3,"338,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2023T2,"304,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2023T1,"364,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2022T4,"358,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2022T3,"357,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2022T2,"299,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2022T1,"384,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2021T4,"392,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2021T3,"445,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2021T2,"462,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2021T1,"501,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2020T4,"501,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2020T3,"514,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2020T2,"467,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2020T1,"412,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2019T4,"403,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2019T3,"395,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2019T2,"389,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2019T1,"406,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2018T4,"399,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2018T3,"405,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2018T2,"433,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2018T1,"472,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2017T4,"456,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2017T3,"476,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2017T2,"485,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2017T1,"520,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2016T4,"510,7"
